model,outer_fold,threshold_type,decision_threshold,num_cells,kernel_size,accuracy,f1,roc_auc,pr_auc,gmean,brier,ece_10,mce_10
AP,1,validation_PR_F1_maximising,0.25135350227355957,48,n/a,0.7162162162162162,0.8000000000000002,0.795,0.8947637305151224,0.6204836822995428,0.20597649751026637,0.18778253276203127,0.5632476725361564
AP,2,validation_PR_F1_maximising,0.20630156993865967,64,n/a,0.7837837837837838,0.8596491228070174,0.85,0.9193413436566905,0.6062177826491071,0.1726913229243718,0.14471380704560796,0.538555383682251
AP,3,validation_PR_F1_maximising,0.18488425016403198,64,n/a,0.7027027027027027,0.8070175438596492,0.7966666666666666,0.8650616220786264,0.47958315233127197,0.17065207098266938,0.10316100394403613,0.2517343506217003
AP,4,validation_PR_F1_maximising,0.1806730031967163,32,n/a,0.7534246575342466,0.8392857142857143,0.8069565217391305,0.9081067772230815,0.5718011207921251,0.18540179655252806,0.1353066825907524,0.3106738461388482
AP,5,validation_PR_F1_maximising,0.26496437191963196,64,n/a,0.7534246575342466,0.8363636363636363,0.8681972789115646,0.9422329214821803,0.5933302759227196,0.1545802803203368,0.12642866393474683,0.3636488815148672
SP,1,validation_PR_F1_maximising,0.2933337688446045,48,4,0.7837837837837838,0.8461538461538461,0.8333333333333334,0.9230067209154185,0.7164728420068226,0.1762850799871992,0.1619094491407678,0.4565137426058451
SP,2,validation_PR_F1_maximising,0.3349558413028717,48,8,0.7837837837837838,0.8333333333333333,0.87,0.9335766562446539,0.7745966692414834,0.16912657755962376,0.15465064548157353,0.5390124917030334
SP,3,validation_PR_F1_maximising,0.4252314567565918,48,6,0.8378378378378378,0.8867924528301886,0.8987499999999999,0.9320216176633722,0.7664854858377945,0.1096386614110647,0.11050457371449149,0.6218591332435608
SP,4,validation_PR_F1_maximising,0.3497999906539917,48,6,0.8493150684931506,0.8865979381443299,0.8982608695652174,0.9488104967727438,0.8428729338451293,0.1302259700720576,0.12827033476827482,0.6629138886928558
SP,5,validation_PR_F1_maximising,0.3276882469654083,64,6,0.863013698630137,0.9,0.9183673469387755,0.9607260372600214,0.8299250027587323,0.11688688196174116,0.13515464402735233,0.5100875049829483
AP_SP,1,validation_PR_F1_maximising,0.22946934401988983,48,8,0.7837837837837838,0.8431372549019608,0.8158333333333333,0.9187013186359332,0.733143914930759,0.18579195555150185,0.17522480650930794,0.7485363185405731
AP_SP,2,validation_PR_F1_maximising,0.2665470540523529,64,8,0.8243243243243243,0.8712871287128714,0.8883333333333333,0.9403659870054072,0.7895146188218007,0.13512884199838265,0.15057852564731966,0.4810461600621541
AP_SP,3,validation_PR_F1_maximising,0.2627162039279938,48,8,0.8108108108108109,0.8727272727272728,0.8616666666666667,0.9238703864161277,0.6928203230275509,0.13930313979704848,0.09118287227544428,0.4352339208126068
AP_SP,4,validation_PR_F1_maximising,0.3197052478790283,64,8,0.7945205479452054,0.8484848484848485,0.8686956521739131,0.9423598495208081,0.7644264687247273,0.15593986084280037,0.10113367178056336,0.5831286013126373
AP_SP,5,validation_PR_F1_maximising,0.32368379831314087,32,6,0.8767123287671232,0.9072164948453607,0.9022108843537415,0.9525670076673168,0.865042958313569,0.12437032076102332,0.09783276435855313,0.5260040462017059
TSNE_SP,1,validation_PR_F1_maximising,0.27378857135772705,64,6,0.7567567567567568,0.8333333333333334,0.7433333333333333,0.8699007539320448,0.6422616289332564,0.21270296703038935,0.17771748997069695,0.44726884365081787
TSNE_SP,2,validation_PR_F1_maximising,0.2719314992427826,48,8,0.6891891891891891,0.8067226890756302,0.82,0.9089029363573561,0.34641016151377546,0.19398307380139798,0.1604862772935146,0.4659146308898926
TSNE_SP,3,validation_PR_F1_maximising,0.3228510320186615,48,4,0.6486486486486487,0.7592592592592593,0.7491666666666666,0.8901789729510391,0.4890466917040403,0.18760011254289038,0.12587429442115733,0.8505176305770874
TSNE_SP,4,validation_PR_F1_maximising,0.2932962477207184,64,4,0.7123287671232876,0.8173913043478259,0.7330434782608696,0.8856103273248519,0.4520484775850445,0.1963371040484054,0.15212219484048348,0.32519437869389856
TSNE_SP,5,validation_PR_F1_maximising,0.32025453448295593,64,6,0.6438356164383562,0.7450980392156863,0.7644557823129252,0.8972163743371868,0.539273888233625,0.19915553274472897,0.15152782365067363,0.35649370344785547
TSNE_AP_SP,1,validation_PR_F1_maximising,0.22271902859210968,64,6,0.7297297297297297,0.8148148148148148,0.805,0.8936035475901472,0.6055300708194984,0.194158964535439,0.20834058180854126,0.46602500081062315
TSNE_AP_SP,2,validation_PR_F1_maximising,0.3307945728302002,32,8,0.8108108108108109,0.8599999999999999,0.895,0.9475521845629137,0.7804912982645397,0.13885303727452894,0.1252108545520821,0.40324838459491724
TSNE_AP_SP,3,validation_PR_F1_maximising,0.332840234041214,48,6,0.7702702702702703,0.8411214953271027,0.8366666666666667,0.8867926774999454,0.6708203932499369,0.15217731602480572,0.13288223723302017,0.9314536601305008
TSNE_AP_SP,4,validation_PR_F1_maximising,0.34677621722221375,48,8,0.7534246575342466,0.816326530612245,0.8495652173913043,0.9298657910333739,0.7223151185146152,0.169256438811944,0.13067470689954822,0.32785620689392087
TSNE_AP_SP,5,validation_PR_F1_maximising,0.2920498549938202,48,6,0.8356164383561644,0.8799999999999999,0.8971088435374149,0.9506315264111319,0.7975302011640107,0.14051092041698682,0.12214568481869892,0.3491086006164551
