strategy,outer_fold,aulc_f1_10_60,aulc_f1_10_110,aulc_f1_10_160,aulc_f1_10_235,terminal_f1,terminal_pr_auc
predictive_entropy,1,0.7000506528790977,0.7566209893247549,0.7810882119006559,0.7883812997231667,0.7764705882352942,0.9252209972565291
predictive_entropy,2,0.8221639457347323,0.8334761572496947,0.8385650958415066,0.8418569992351742,0.7865168539325842,0.9201687299624739
predictive_entropy,3,0.8097201024473898,0.8246234558178179,0.8353666891960327,0.8367718628982185,0.822429906542056,0.8530156890808964
random,1,0.7346668154681779,0.759831024617888,0.7754993131915485,0.7860958396223751,0.7764705882352942,0.9252209972565291
random,2,0.8072187473130288,0.8241026013159325,0.8341867673109075,0.839552911626102,0.7865168539325842,0.9201687299624739
random,3,0.7915105196214378,0.8106340698586494,0.8206029887330802,0.8255909483127416,0.822429906542056,0.8530156890808964
self_paced_entropy,1,0.7009761362247109,0.7442998955434728,0.7687000867034625,0.7780142951035215,0.7764705882352942,0.9252209972565291
self_paced_entropy,2,0.8062477956061294,0.8164247740668809,0.8236682975821856,0.8318989643443396,0.7865168539325842,0.9201687299624739
self_paced_entropy,3,0.7989930599087052,0.8224402405141537,0.8307241589574715,0.8340656278043802,0.822429906542056,0.8530156890808964
static_easy_entropy,1,0.704361489226234,0.7081525187717539,0.7225870385480797,0.7379191090715626,0.7764705882352942,0.9252209972565291
static_easy_entropy,2,0.8124496188038719,0.8161113063220543,0.8198629620241905,0.825064006422623,0.7865168539325842,0.9201687299624739
static_easy_entropy,3,0.800036146784732,0.8294595180747661,0.8319255182151233,0.8417238178103733,0.822429906542056,0.8530156890808964
