initial_label_count,interval_start,interval_end,aulc_scope,comparison,fold_count,mean_delta_aulc_f1,std_delta_aulc_f1,minimum_delta_aulc_f1,maximum_delta_aulc_f1,worst_fold_delta_aulc_f1
10,10,110,partial,self_paced_entropy - predictive_entropy,3,-0.01051856408925341,0.0075962121474210794,-0.01705138318281385,-0.0021832153036642765,-0.01705138318281385
10,10,110,partial,self_paced_entropy - random,3,-0.0038009285559875336,0.014074968800607544,-0.015531129074415229,0.011806170655504267,-0.015531129074415229
10,10,110,partial,self_paced_entropy - static_easy_entropy,3,0.00981385565197764,0.023098334125029502,-0.007019277560612491,0.036147376771718864,-0.007019277560612491
10,10,110,partial,static_easy_entropy - predictive_entropy,3,-0.02033241974123105,0.02677588753000139,-0.048468470553000964,0.004836062256948215,-0.048468470553000964
10,10,160,partial,self_paced_entropy - predictive_entropy,3,-0.01064248456502522,0.005345367066245477,-0.014896798259320998,-0.004642530238561204,-0.014896798259320998
10,10,160,partial,self_paced_entropy - random,3,-0.002398841997472201,0.011000964598500543,-0.010518469728721835,0.010121170224391296,-0.010518469728721835
10,10,160,partial,self_paced_entropy - static_easy_entropy,3,0.016239008151908707,0.025992507532770513,-0.0012013592576517462,0.04611304815538275,-0.0012013592576517462
10,10,160,partial,static_easy_entropy - predictive_entropy,3,-0.026881492716933925,0.02842670222341232,-0.05850117335257621,-0.003441170980909458,-0.05850117335257621
10,10,235,full,self_paced_entropy - predictive_entropy,3,-0.007677091534772695,0.004309741799348924,-0.010367004619645237,-0.0027062350938382718,-0.010367004619645237
10,10,235,full,self_paced_entropy - random,3,-0.0024202707696591164,0.009437725665985712,-0.008081544518853567,0.008474679491638604,-0.008081544518853567
10,10,235,full,self_paced_entropy - static_easy_entropy,3,0.013090651315894153,0.024483596664644277,-0.007658190005993104,0.04009518603195894,-0.007658190005993104
10,10,235,full,static_easy_entropy - predictive_entropy,3,-0.020767742850666848,0.027920079880607313,-0.05046219065160418,0.004951954912154832,-0.05046219065160418
10,10,60,partial,self_paced_entropy - predictive_entropy,3,-0.008572569773891462,0.008625048938448725,-0.015916150128602924,0.0009254833456131539,-0.015916150128602924
10,10,60,partial,self_paced_entropy - random,3,-0.009059696887699697,0.021745789260945475,-0.033690679243467025,0.0074825402872673585,-0.033690679243467025
10,10,60,partial,self_paced_entropy - static_easy_entropy,3,-0.0035434210250974893,0.0025829981096208263,-0.00620182319774254,-0.001043086876026833,-0.00620182319774254
10,10,60,partial,static_easy_entropy - predictive_entropy,3,-0.005029148748793973,0.008088678618762897,-0.009714326930860384,0.004310836347136249,-0.009714326930860384
